blknight,case,contrib,coop,cost,dstres,gnpcst,gnprat,inst,length,natsec,imports,exports,policies,relate,result,success,tarcst,us,year,pre_73,trade,blk_m,blk_x,blk_trd,in_coop
1,141,3,4,4,3,7.00,1.00,0.00,4,1,7.00,11.00,1,0,4,12,843.00,0,1914,1,18,7.00,11.00,18.00,0.00
0,171,2,1,2,3,0.80,13.00,0.00,1,1,15.00,26.00,0,0,2,4,23.00,1,1917,1,41,0.00,0.00,0.00,0.00
0,181,1,4,3,1,4.10,1.00,0.00,2,1,16.00,21.00,1,0,1,1,446.00,0,1918,1,37,0.00,0.00,0.00,0.00
0,211,4,4,2,2,0.00,37.00,1.00,1,1,27.00,26.00,0,0,4,16,0.00,0,1921,1,53,0.00,0.00,0.00,4.00
0,251,4,4,2,2,0.00,56.00,1.00,1,1,33.00,39.00,0,0,4,16,0.00,0,1925,1,72,0.00,0.00,0.00,4.00
0,321,2,3,2,2,3.00,224.00,1.00,3,1,63.00,85.00,0,0,3,6,4.00,0,1932,1,148,0.00,0.00,0.00,3.00
0,331,3,1,2,2,0.00,1.00,0.00,1,0,9.00,17.00,0,0,4,12,4.00,0,1933,1,26,0.00,0.00,0.00,0.00
1,351,1,4,3,3,1.70,6.00,1.00,1,1,15.00,17.00,0,0,1,1,86.00,0,1935,1,32,15.00,17.00,32.00,4.00
0,381,3,2,2,3,0.20,75.00,0.00,9,0,62.00,77.00,0,0,3,9,2.00,1,1938,1,139,0.00,0.00,0.00,0.00
1,391,3,4,4,3,1.60,2.00,1.00,6,1,18.00,12.00,1,0,4,12,688.00,1,1939,1,30,18.00,12.00,30.00,4.00
0,401,1,2,3,3,0.90,11.00,0.00,1,1,42.00,20.00,0,0,1,1,88.00,1,1940,1,62,0.00,0.00,0.00,0.00
0,441,2,2,2,2,0.80,58.00,0.00,3,1,13.00,26.00,0,0,2,4,29.00,1,1944,1,39,0.00,0.00,0.00,0.00
1,461,2,3,4,3,4.10,4.00,1.00,44,0,4.00,1.00,1,0,2,4,258.00,0,1946,1,5,4.00,1.00,5.00,3.00
0,481,4,1,1,2,0.20,45.00,0.00,1,1,15.00,3.00,0,1,4,16,14.00,1,1948,1,18,0.00,0.00,0.00,0.00
0,482,3,1,2,2,2.00,22.00,0.00,1,1,99.00,99.00,1,1,4,12,18.00,0,1948,1,198,0.00,0.00,0.00,0.00
1,483,1,1,3,3,0.10,0.40,0.00,1,1,1.00,0.40,1,0,1,1,258.00,0,1948,1,1,1.00,0.40,1.40,0.00
1,484,1,4,1,2,-2.50,52.00,0.00,7,1,11.00,15.00,1,1,1,1,-76.00,0,1948,1,26,11.00,15.00,26.00,0.00
1,485,2,4,1,3,0.20,3.00,1.00,42,1,23.00,23.00,0,0,3,6,753.00,1,1948,1,46,23.00,23.00,46.00,4.00
1,491,1,3,3,3,0.50,13.00,1.00,21,1,51.00,25.00,1,1,1,1,106.00,1,1949,1,76,51.00,25.00,76.00,3.00
